id,smiles,notes,params_json
CHEMBL181210,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)NCCCC[C@@H]1NC(=O)[C@H](CCCCNC(=O)CCNC(=N)N)NC1=O,,
CHEMBL4442874,Cc1nnc2n1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@@H]2c1ccccc1,,
CHEMBL4442875,O=S(=O)(NCc1ccccc1)c1ccccc1-c1nnc(SCc2ccccc2)o1,,
CHEMBL4442877,O=C(NCCc1c[nH]c2ccc(Br)cc12)c1ccccc1O,,
CHEMBL181129,O=C1C2CCCCCCC2N1Cc1ccccc1,,
CHEMBL181058,Cc1ccsc1CNn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,,
CHEMBL179442,N#Cc1c(Cl)cccc1OC[C@H](O)CN1CCCC1Cc1ccccc1,,
CHEMBL179270,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,,
CHEMBL179185,O=C(c1ccccc1)c1ccc(OCC(O)COc2ccc(C(=O)c3ccccc3)c(O)c2)cc1O,,
CHEMBL179022,C[C@H](C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)N1)c1ccccc1,,
CHEMBL180284,CCCN(Cc1ccccc1)C(=O)c1c(CC)nc2n1CCN2c1c(C)cc(C)cc1C,,
CHEMBL180285,NC(Cc1ccccc1)C(=O)NC(=S)NCCc1ccc(S(N)(=O)=O)cc1.[Cl-].[Na+],,
CHEMBL180287,NNC(=O)CNc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccccc1,,
CHEMBL180069,CC(C)CN(NC(=O)OCc1ccccc1)C(=O)CN(Cc1ccccc1)NC(=O)CBr,,
CHEMBL180070,O=C(COCc1ccccc1)Nc1scnc1C(=O)Nc1nccs1,,
CHEMBL4442964,CC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)[C@@H](C)O,,
CHEMBL181211,OC(C/C(=C\Cl)[Te](Cl)(Cl)Cl)c1ccccc1,,
CHEMBL181290,Cc1ccccc1CC(=O)N1CCC(N2CCC(Cc3cc(Cl)ccc3Cl)CC2)CC1,,
CHEMBL181061,O=C(Nc1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1)c1ccccc1,,
CHEMBL181133,FC(F)(F)CN(CCc1ccccc1)Cc1sc(Nc2c(Cl)cc(Cl)cc2Cl)nc1C(F)(F)F,,
CHEMBL179352,COc1ccc2c(c1)cc(C1(O)C=CC(=O)C=C1)n2S(=O)(=O)c1ccccc1,,
